Player,Span,Matches,Innings,Runs,Average,highestscore,100s,50s
Yasir Hameed (PAK),2003-2010,81,105,3519,34.84,170,5,20
MJ Santner (NZ),2015-2025,278,216,3513,23.89,126,1,9
R Ravindra (NZ),2021-2025,97,106,3499,37.62,240,9,14
SO Hetmyer (WI),2017-2025,142,141,3493,26.26,139,5,15
Shahriar Nafees (BAN),2005-2013,100,124,3493,29.35,138,5,20
RR Hendricks (SA),2014-2025,128,127,3478,28.27,117,2,25
B Mitchell (SA),1929-1949,42,80,3471,48.88,189*,8,21
Taufeeq Umar (PAK),2001-2014,66,105,3467,35.02,236,7,17
KD Karthik (ICC/IND),2004-2022,180,169,3463,27.7,129,1,17
M Prabhakar (IND),1984-1996,169,156,3458,27.44,120,3,20
A Kumble (Asia/IND),1990-2008,403,309,3444,14.97,110*,1,5
JR Reid (NZ),1949-1965,58,108,3428,33.28,142,6,22
C Hill (AUS),1896-1912,49,89,3412,39.21,191,7,19
YBK Jaiswal (IND),2023-2025,55,79,3405,46.01,214*,9,18
GC Wilson (IRE),2007-2020,188,171,3385,22.56,113,1,15
M Kaif (IND),2000-2006,138,132,3377,32.16,148*,3,20
RG Twose (NZ),1995-2001,103,108,3345,35.21,103,1,26
A Vala (PNG),2014-2025,132,129,3339,28.29,104,1,20
SA Edwards (NED),2018-2025,151,137,3334,30.58,99,0,22
Aasif Sheikh (NEP),2021-2025,131,130,3316,27.18,110,1,23
CJ Chibhabha (ZIM),2005-2023,150,154,3316,21.81,99,0,22
Jatinder Singh (OMA),2015-2025,133,132,3309,26.9,118*,4,18
Hashmatullah Shahidi (AFG),2013-2025,110,116,3293,35.4,246,2,24
TG Southee (NZ),2008-2024,394,302,3288,14.11,77*,0,8
KLT Arthurton (WI),1988-1999,138,143,3286,27.84,157*,2,17
FE Woolley (ENG),1909-1934,64,98,3283,36.07,154,5,23
K Bhurtel (NEP),2021-2025,135,132,3261,26.08,115,2,22
WA Young (NZ),2020-2025,95,112,3253,31.27,120,4,23
CC Hunte (WI),1958-1967,44,78,3245,45.06,260,8,13
H Klaasen (SA),2018-2025,122,117,3245,32.45,174,4,16
LJ Tucker (IRE),2016-2025,150,143,3237,25.48,108,1,19
MW Goodwin (ZIM),1998-2000,90,107,3232,32.32,166*,5,16
Khaled Mashud (BAN),1995-2007,170,194,3227,20.55,103*,1,10
JDS Neesham (NZ),2012-2025,181,158,3214,25.91,137*,2,11
VL Manjrekar (IND),1951-1965,55,92,3208,39.12,189*,7,15
MD Patel (USA),2019-2025,114,106,3208,32.4,130,4,24
CL White (AUS),2005-2018,142,128,3202,33.35,105,2,16
DS Airee (NEP),2018-2025,158,142,3197,27.09,110*,2,15
